dataset,taxaID,locus,gene,essentiality,pmid,Ref_db
199,224308,BSU38830,,NE,12682299,
199,224308,BSU38820,,NE,12682299,
199,224308,BSU38810,,NE,12682299,
199,224308,BSU38800,,NE,12682299,
199,224308,BSU38790,,NE,12682299,
199,224308,BSU38780,,NE,12682299,
199,224308,BSU38760,,NE,12682299,
199,224308,BSU38750,,NE,12682299,
199,224308,BSU38740,,NE,12682299,
199,224308,BSU38730,,NE,12682299,
199,224308,BSU38710,,NE,12682299,
199,224308,BSU38700,,NE,12682299,
199,224308,BSU38660,,NE,12682299,
199,224308,BSU38650,,NE,12682299,
199,224308,BSU38640,,NE,12682299,
199,224308,BSU38620,,NE,12682299,
199,224308,BSU38590,,NE,12682299,
199,224308,BSU38580,,NE,12682299,
199,224308,BSU38570,,NE,12682299,
199,224308,BSU38550,,NE,12682299,
199,224308,BSU38530,,NE,12682299,
199,224308,BSU38520,,NE,12682299,
199,224308,BSU38510,,NE,12682299,
199,224308,BSU38499,,NE,12682299,
199,224308,BSU38470,,NE,12682299,
199,224308,BSU38460,,NE,12682299,
199,224308,BSU38400,,NE,12682299,
199,224308,BSU38390,,NE,12682299,
199,224308,BSU38380,,NE,12682299,
199,224308,BSU38360,,NE,12682299,
199,224308,BSU38350,,NE,12682299,
199,224308,BSU38330,,NE,12682299,
199,224308,BSU38310,,NE,12682299,
199,224308,BSU38300,,NE,12682299,
199,224308,BSU38280,,NE,12682299,
199,224308,BSU38250,,NE,12682299,
199,224308,BSU38220,,NE,12682299,
199,224308,BSU38210,,NE,12682299,
199,224308,BSU38200,,NE,12682299,
199,224308,BSU38190,,NE,12682299,
199,224308,BSU38180,,NE,12682299,
199,224308,BSU38160,,NE,12682299,
199,224308,BSU38150,,NE,12682299,
199,224308,BSU38130,,NE,12682299,
199,224308,BSU38080,,NE,12682299,
199,224308,BSU38070,,NE,12682299,
199,224308,BSU38060,,NE,12682299,
199,224308,BSU38050,,NE,12682299,
199,224308,BSU37980,,NE,12682299,
199,224308,BSU37970,,NE,12682299,
199,224308,BSU37940,,NE,12682299,
199,224308,BSU37930,,NE,12682299,
199,224308,BSU37920,,NE,12682299,
199,224308,BSU37910,,NE,12682299,
199,224308,BSU37900,,NE,12682299,
199,224308,BSU37880,,NE,12682299,
199,224308,BSU37860,,NE,12682299,
199,224308,BSU37850,,NE,12682299,
199,224308,BSU37840,,NE,12682299,
199,224308,BSU37830,,NE,12682299,
199,224308,BSU37810,,NE,12682299,
199,224308,BSU37790,,NE,12682299,
199,224308,BSU37760,,NE,12682299,
199,224308,BSU37750,,NE,12682299,
199,224308,BSU37740,,NE,12682299,
199,224308,BSU37720,,NE,12682299,
199,224308,BSU37710,,NE,12682299,
199,224308,BSU37680,,NE,12682299,
199,224308,BSU37650,,NE,12682299,
199,224308,BSU37630,,NE,12682299,
199,224308,BSU37620,,NE,12682299,
199,224308,BSU37610,,NE,12682299,
199,224308,BSU37600,,NE,12682299,
199,224308,BSU37580,,NE,12682299,
199,224308,BSU37560,,NE,12682299,
199,224308,BSU37550,,NE,12682299,
199,224308,BSU37540,,NE,12682299,
199,224308,BSU37530,,NE,12682299,
199,224308,BSU37520,,NE,12682299,
199,224308,BSU37510,,NE,12682299,
199,224308,BSU37500,,NE,12682299,
199,224308,BSU37470,,NE,12682299,
199,224308,BSU37450,,NE,12682299,
199,224308,BSU37440,,NE,12682299,
199,224308,BSU37430,,NE,12682299,
199,224308,BSU37410,,NE,12682299,
199,224308,BSU37400,,NE,12682299,
199,224308,BSU37390,,NE,12682299,
199,224308,BSU37380,,NE,12682299,
199,224308,BSU37370,,NE,12682299,
199,224308,BSU37360,,NE,12682299,
199,224308,BSU37350,,NE,12682299,
199,224308,BSU37340,,NE,12682299,
199,224308,BSU37320,,NE,12682299,
199,224308,BSU37300,,NE,12682299,
199,224308,BSU37270,,NE,12682299,
199,224308,BSU37240,,NE,12682299,
199,224308,BSU37220,,NE,12682299,
199,224308,BSU37200,,NE,12682299,
199,224308,BSU37190,,NE,12682299,
199,224308,BSU37180,,NE,12682299,
199,224308,BSU37170,,NE,12682299,
199,224308,BSU37160,,NE,12682299,
199,224308,BSU37140,,NE,12682299,
199,224308,BSU37130,,NE,12682299,
199,224308,BSU37110,,NE,12682299,
199,224308,BSU37060,,NE,12682299,
199,224308,BSU37050,,NE,12682299,
199,224308,BSU37040,,NE,12682299,
199,224308,BSU37030,,NE,12682299,
199,224308,BSU37020,,NE,12682299,
199,224308,BSU36990,,NE,12682299,
199,224308,BSU36980,,NE,12682299,
199,224308,BSU36970,,NE,12682299,
199,224308,BSU36940,,NE,12682299,
199,224308,BSU36930,,NE,12682299,
199,224308,BSU36920,,NE,12682299,
199,224308,BSU36890,,NE,12682299,
199,224308,BSU36880,,NE,12682299,
199,224308,BSU36860,,NE,12682299,
199,224308,BSU36840,,NE,12682299,
199,224308,BSU36830,,NE,12682299,
199,224308,BSU36820,,NE,12682299,
199,224308,BSU36810,,NE,12682299,
199,224308,BSU36790,,NE,12682299,
199,224308,BSU36750,,NE,12682299,
199,224308,BSU36740,,NE,12682299,
199,224308,BSU36730,,NE,12682299,
199,224308,BSU36720,,NE,12682299,
199,224308,BSU36690,,NE,12682299,
199,224308,BSU36680,,NE,12682299,
199,224308,BSU36670,,NE,12682299,
199,224308,BSU36640,,NE,12682299,
199,224308,BSU36610,,NE,12682299,
199,224308,BSU36600,,NE,12682299,
199,224308,BSU36590,,NE,12682299,
199,224308,BSU36580,,NE,12682299,
199,224308,BSU36570,,NE,12682299,
199,224308,BSU36560,,NE,12682299,
199,224308,BSU36550,,NE,12682299,
