dataset,taxaID,locus,gene,essentiality,pmid,Ref_db
168,83332,Rv3560c,,E,14569030,
168,83332,Rv3563,,E,14569030,
168,83332,Rv3574,,E,14569030,
168,83332,Rv3588c,,E,14569030,
168,83332,Rv3614c,,E,14569030,
168,83332,Rv3615c,,E,14569030,
168,83332,Rv3616c,,E,14569030,
168,83332,Rv3631,,E,14569030,
168,83332,Rv3649,,E,14569030,
168,83332,Rv3651,,E,14569030,
168,83332,Rv3663c,,E,14569030,
168,83332,Rv3683,,E,14569030,
168,83332,Rv3701c,,E,14569030,
168,83332,Rv3717,,E,14569030,
168,83332,Rv3723,,E,14569030,
168,83332,Rv3758c,,E,14569030,
168,83332,Rv3781,,E,14569030,
168,83332,Rv3794,,E,14569030,
168,83332,Rv3805c,,E,14569030,
168,83332,Rv3810,,E,14569030,
168,83332,Rv3855,,E,14569030,
168,83332,Rv3864,,E,14569030,
168,83332,Rv3868,,E,14569030,
168,83332,Rv3869,,E,14569030,
168,83332,Rv3870,,E,14569030,
168,83332,Rv3871,,E,14569030,
168,83332,Rv3872,,E,14569030,
168,83332,Rv3873,,E,14569030,
168,83332,Rv3876,,E,14569030,
168,83332,Rv3877,,E,14569030,
168,83332,Rv3882c,,E,14569030,
168,83332,Rv3910,,E,14569030,
168,83332,Rv0003,,NE,14569030,
168,83332,Rv0007,,NE,14569030,
168,83332,Rv0008c,,NE,14569030,
168,83332,Rv0009,,NE,14569030,
168,83332,Rv0010c,,NE,14569030,
168,83332,Rv0012,,NE,14569030,
168,83332,Rv0017c,,NE,14569030,
168,83332,Rv0018c,,NE,14569030,
168,83332,Rv0019c,,NE,14569030,
168,83332,Rv0021c,,NE,14569030,
168,83332,Rv0022c,,NE,14569030,
168,83332,Rv0023,,NE,14569030,
168,83332,Rv0024,,NE,14569030,
168,83332,Rv0025,,NE,14569030,
168,83332,Rv0026,,NE,14569030,
168,83332,Rv0027,,NE,14569030,
168,83332,Rv0029,,NE,14569030,
168,83332,Rv0030,,NE,14569030,
168,83332,Rv0031,,NE,14569030,
168,83332,Rv0033,,NE,14569030,
168,83332,Rv0034,,NE,14569030,
168,83332,Rv0035,,NE,14569030,
168,83332,Rv0036c,,NE,14569030,
168,83332,Rv0037c,,NE,14569030,
168,83332,Rv0038,,NE,14569030,
168,83332,Rv0039c,,NE,14569030,
168,83332,Rv0040c,,NE,14569030,
168,83332,Rv0041,,NE,14569030,
168,83332,Rv0042c,,NE,14569030,
168,83332,Rv0043c,,NE,14569030,
168,83332,Rv0044c,,NE,14569030,
168,83332,Rv0046c,,NE,14569030,
168,83332,Rv0047c,,NE,14569030,
168,83332,Rv0048c,,NE,14569030,
168,83332,Rv0049,,NE,14569030,
168,83332,Rv0050,,NE,14569030,
168,83332,Rv0051,,NE,14569030,
168,83332,Rv0052,,NE,14569030,
168,83332,Rv0057,,NE,14569030,
168,83332,Rv0059,,NE,14569030,
168,83332,Rv0060,,NE,14569030,
168,83332,Rv0061,,NE,14569030,
168,83332,Rv0062,,NE,14569030,
168,83332,Rv0063,,NE,14569030,
168,83332,Rv0065,,NE,14569030,
168,83332,Rv0067c,,NE,14569030,
168,83332,Rv0068,,NE,14569030,
168,83332,Rv0069c,,NE,14569030,
168,83332,Rv0070c,,NE,14569030,
168,83332,Rv0071,,NE,14569030,
168,83332,Rv0072,,NE,14569030,
168,83332,Rv0073,,NE,14569030,
168,83332,Rv0074,,NE,14569030,
168,83332,Rv0075,,NE,14569030,
168,83332,Rv0076c,,NE,14569030,
168,83332,Rv0077c,,NE,14569030,
168,83332,Rv0078,,NE,14569030,
168,83332,Rv0080,,NE,14569030,
168,83332,Rv0081,,NE,14569030,
168,83332,Rv0082,,NE,14569030,
168,83332,Rv0083,,NE,14569030,
168,83332,Rv0086,,NE,14569030,
168,83332,Rv0087,,NE,14569030,
168,83332,Rv0089,,NE,14569030,
168,83332,Rv0090,,NE,14569030,
168,83332,Rv0091,,NE,14569030,
168,83332,Rv0092,,NE,14569030,
168,83332,Rv0094c,,NE,14569030,
168,83332,Rv0095c,,NE,14569030,
168,83332,Rv0096,,NE,14569030,
168,83332,Rv0097,,NE,14569030,
168,83332,Rv0103c,,NE,14569030,
168,83332,Rv0104,,NE,14569030,
168,83332,Rv0105c,,NE,14569030,
168,83332,Rv0106,,NE,14569030,
168,83332,Rv0107c,,NE,14569030,
168,83332,Rv0108c,,NE,14569030,
168,83332,Rv0109,,NE,14569030,
168,83332,Rv0110,,NE,14569030,
168,83332,Rv0111,,NE,14569030,
168,83332,Rv0113,,NE,14569030,
168,83332,Rv0114,,NE,14569030,
168,83332,Rv0115,,NE,14569030,
168,83332,Rv0116c,,NE,14569030,
168,83332,Rv0117,,NE,14569030,
168,83332,Rv0120c,,NE,14569030,
168,83332,Rv0121c,,NE,14569030,
168,83332,Rv0122,,NE,14569030,
168,83332,Rv0123,,NE,14569030,
168,83332,Rv0124,,NE,14569030,
168,83332,Rv0125,,NE,14569030,
168,83332,Rv0128,,NE,14569030,
168,83332,Rv0129c,,NE,14569030,
168,83332,Rv0130,,NE,14569030,
168,83332,Rv0131c,,NE,14569030,
168,83332,Rv0132c,,NE,14569030,
168,83332,Rv0133,,NE,14569030,
168,83332,Rv0134,,NE,14569030,
168,83332,Rv0136,,NE,14569030,
168,83332,Rv0137c,,NE,14569030,
168,83332,Rv0138,,NE,14569030,
168,83332,Rv0139,,NE,14569030,
168,83332,Rv0140,,NE,14569030,
168,83332,Rv0141c,,NE,14569030,
168,83332,Rv0142,,NE,14569030,
168,83332,Rv0143c,,NE,14569030,
168,83332,Rv0144,,NE,14569030,
168,83332,Rv0145,,NE,14569030,
168,83332,Rv0146,,NE,14569030,
168,83332,Rv0147,,NE,14569030,
168,83332,Rv0148,,NE,14569030,
168,83332,Rv0149,,NE,14569030,
168,83332,Rv0151c,,NE,14569030,
168,83332,Rv0152c,,NE,14569030,
168,83332,Rv0153c,,NE,14569030,
168,83332,Rv0154c,,NE,14569030,
168,83332,Rv0157,,NE,14569030,
168,83332,Rv0158,,NE,14569030,
168,83332,Rv0159c,,NE,14569030,
168,83332,Rv0160c,,NE,14569030,
168,83332,Rv0161,,NE,14569030,
168,83332,Rv0162c,,NE,14569030,
168,83332,Rv0163,,NE,14569030,
168,83332,Rv0165c,,NE,14569030,
168,83332,Rv0166,,NE,14569030,
168,83332,Rv0172,,NE,14569030,
168,83332,Rv0174,,NE,14569030,
168,83332,Rv0177,,NE,14569030,
168,83332,Rv0178,,NE,14569030,
168,83332,Rv0179c,,NE,14569030,
168,83332,Rv0181c,,NE,14569030,
168,83332,Rv0182c,,NE,14569030,
168,83332,Rv0183,,NE,14569030,
168,83332,Rv0184,,NE,14569030,
168,83332,Rv0185,,NE,14569030,
168,83332,Rv0187,,NE,14569030,
168,83332,Rv0188,,NE,14569030,
168,83332,Rv0190,,NE,14569030,
168,83332,Rv0191,,NE,14569030,
168,83332,Rv0192,,NE,14569030,
168,83332,Rv0193c,,NE,14569030,
168,83332,Rv0194,,NE,14569030,
168,83332,Rv0195,,NE,14569030,
168,83332,Rv0196,,NE,14569030,
168,83332,Rv0197,,NE,14569030,
168,83332,Rv0198c,,NE,14569030,
168,83332,Rv0200,,NE,14569030,
168,83332,Rv0201c,,NE,14569030,
168,83332,Rv0202c,,NE,14569030,
168,83332,Rv0203,,NE,14569030,
168,83332,Rv0206c,,NE,14569030,
168,83332,Rv0207c,,NE,14569030,
168,83332,Rv0209,,NE,14569030,
168,83332,Rv0210,,NE,14569030,
168,83332,Rv0212c,,NE,14569030,
168,83332,Rv0213c,,NE,14569030,
168,83332,Rv0214,,NE,14569030,
168,83332,Rv0215c,,NE,14569030,
168,83332,Rv0217c,,NE,14569030,
168,83332,Rv0219,,NE,14569030,
168,83332,Rv0220,,NE,14569030,
168,83332,Rv0221,,NE,14569030,
168,83332,Rv0222,,NE,14569030,
168,83332,Rv0223c,,NE,14569030,
168,83332,Rv0229c,,NE,14569030,
168,83332,Rv0230c,,NE,14569030,
168,83332,Rv0231,,NE,14569030,
168,83332,Rv0232,,NE,14569030,
168,83332,Rv0233,,NE,14569030,
168,83332,Rv0235c,,NE,14569030,
168,83332,Rv0238,,NE,14569030,
168,83332,Rv0239,,NE,14569030,
168,83332,Rv0240,,NE,14569030,
168,83332,Rv0242c,,NE,14569030,
168,83332,Rv0245,,NE,14569030,
168,83332,Rv0246,,NE,14569030,
168,83332,Rv0250c,,NE,14569030,
168,83332,Rv0251c,,NE,14569030,
168,83332,Rv0252,,NE,14569030,
168,83332,Rv0254c,,NE,14569030,
168,83332,Rv0255c,,NE,14569030,
168,83332,Rv0256c,,NE,14569030,
168,83332,Rv0257c,,NE,14569030,
168,83332,Rv0258c,,NE,14569030,
168,83332,Rv0260c,,NE,14569030,
168,83332,Rv0261c,,NE,14569030,
168,83332,Rv0263c,,NE,14569030,
168,83332,Rv0264c,,NE,14569030,
168,83332,Rv0265c,,NE,14569030,
168,83332,Rv0266c,,NE,14569030,
168,83332,Rv0267,,NE,14569030,
168,83332,Rv0268c,,NE,14569030,
168,83332,Rv0271c,,NE,14569030,
168,83332,Rv0272c,,NE,14569030,
168,83332,Rv0273c,,NE,14569030,
168,83332,Rv0274,,NE,14569030,
168,83332,Rv0275c,,NE,14569030,
168,83332,Rv0276,,NE,14569030,
168,83332,Rv0277c,,NE,14569030,
168,83332,Rv0279c,,NE,14569030,
