,Gene,Prediction,Measured_growth,Growth_cutoff,Computational_growth,Condition,Dataset
22241,b0352,TP,"0,976666667","0,5","0,8217979336",Glucose,Monk 2015
22242,b0353,TP,"1,053333333","0,5","0,8217979336",Glucose,Monk 2015
22243,b0355,TP,"1,02","0,5","0,8217979336",Glucose,Monk 2015
22244,b0356,TP,"1,006666667","0,5","0,8217979336",Glucose,Monk 2015
22245,b0365,TP,"1,006666667","0,5","0,8217979336",Glucose,Monk 2015
22246,b0366,TP,"0,916666667","0,5","0,8217979336",Glucose,Monk 2015
22247,b0367,TP,"0,963333333","0,5","0,8217979336",Glucose,Monk 2015
22248,b0368,TP,"0,95","0,5","0,8217979379",Glucose,Monk 2015
22249,b0369,TN,0,"0,5",0,Glucose,LB_essential
22250,b0376,TP,"0,986666667","0,5","0,8217979336",Glucose,Monk 2015
22251,b0381,TP,"0,993333333","0,5","0,8217979336",Glucose,Monk 2015
22252,b0383,TP,"1,043333333","0,5","0,8217979336",Glucose,Monk 2015
22253,b0386,TN,0,"0,5",0,Glucose,Monk 2015
22254,b0388,TP,"0,935","0,5","0,8217979336",Glucose,Monk 2015
22255,b0394,TP,"1,086666667","0,5","0,8217979336",Glucose,Monk 2015
22256,b0401,TP,"1,066666667","0,5","0,8217979336",Glucose,Monk 2015
22257,b0402,TP,"0,99","0,5","0,8217979336",Glucose,Monk 2015
22258,b0403,TP,"1,006666667","0,5","0,8217979336",Glucose,Monk 2015
22259,b0404,TP,"1,056666667","0,5","0,8217979336",Glucose,Monk 2015
22260,b0411,TP,"1,046666667","0,5","0,8217979336",Glucose,Monk 2015
22261,b0414,TN,0,"0,5",0,Glucose,LB_essential
22262,b0415,TN,0,"0,5",0,Glucose,LB_essential
22263,b0417,TN,0,"0,5",0,Glucose,LB_essential
22264,b0418,FP,"0,44","0,5","0,8217979336",Glucose,Monk 2015
22265,b0420,TN,0,"0,5",0,Glucose,LB_essential
22266,b0421,TN,0,"0,5",0,Glucose,LB_essential
22267,b0423,TN,"0,436666667","0,5",0,Glucose,Monk 2015
22268,b0425,TP,"1,001666667","0,5","0,8217979336",Glucose,Monk 2015
22269,b0428,TP,"0,936666667","0,5","0,8217979336",Glucose,Monk 2015
22270,b0429,TP,"0,918333333","0,5","0,6624613274",Glucose,Monk 2015
22271,b0430,TP,"0,94","0,5","0,6624613274",Glucose,Monk 2015
22272,b0431,TP,"0,933333333","0,5","0,6624613274",Glucose,Monk 2015
22273,b0432,TP,"0,87","0,5","0,6624613274",Glucose,Monk 2015
22274,b0433,TP,"1,033333333","0,5","0,8217979336",Glucose,Monk 2015
22275,b0444,TP,"0,956666667","0,5","0,8217979336",Glucose,Monk 2015
22276,b0446,TP,"1,011666667","0,5","0,8217979336",Glucose,Monk 2015
22277,b0451,TP,"1,043333333","0,5","0,8217979336",Glucose,Monk 2015
22278,b0452,TP,"0,996666667","0,5","0,8075924361",Glucose,Monk 2015
22279,b0459,TP,"0,98","0,5","0,8217979336",Glucose,Monk 2015
22280,b0462,TP,"0,943333333","0,5","0,8217979336",Glucose,Monk 2015
22281,b0463,TP,"1,04","0,5","0,8217979336",Glucose,Monk 2015
22282,b0465,TP,"0,951666667","0,5","0,8217979336",Glucose,Monk 2015
22283,b0469,TP,"1,013333333","0,5","0,8217979336",Glucose,Monk 2015
22284,b0474,FP,0,"0,5","0,8217935269",Glucose,LB_essential
22285,b0475,FP,0,"0,5","0,8217979336",Glucose,LB_essential
22286,b0477,TP,"0,973333333","0,5","0,8217979336",Glucose,Monk 2015
22287,b0480,TP,"0,96","0,5","0,8217979336",Glucose,Monk 2015
22288,b0484,TP,"0,935","0,5","0,8217979336",Glucose,Monk 2015
